status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,A320-NEO,Couple Leisure,Economy Class,Bangkok to Krabi,June 2024,4.0,5.0,,,,5.0,5,yes,9, Flew from Don Mueang airport with Air Asia. I’ve never had a bad flight with them. I class then as a clinical low cost airline. Crew is always nice and buy on board options available. For a one hour flight there was zero complaints.
✅ Trip Verified ,,Couple Leisure,Economy Class,Medan to Kuala Lumpur,August 2024,2.0,2.0,,,,1.0,2,no,1," They didn’t tell me at check in counter that I couldn’t bring my tripod. I could brought it from KL to here via hand carry bag but from Medan to KL cannot. They didn’t tell us beforehand and told us that we as passengers need to ask what we can bring and cannot bring. It’s utterly ridiculous and doesn’t make any sense, I need to ask all items in my bags 1 by 1? They should put it in writing if that item is not allowed. Or at least told us when checking in. It’s really a stupid airline and please do not use AirAsia."
✅ Trip Verified ,A320,Family Leisure,Economy Class,Kota Kinabalu to Kuala Lumpur,August 2024,3.0,3.0,,,,1.0,1,no,2,"   I arrived at the airport at 6PM, four hours before my flight was scheduled to leave for KL and it was a matter of minutes before we noticed that our flight was delayed an hour. There was an earlier flight but when we requested to check in that flight, the staff told us that we arrived five minutes late to reserve the flight. So we stayed at the airport waiting to check in for another hour as we finally did. At the boarding gate, we realised that the flight might be delayed another hour the time to refuel. At 11PM, 1 hour after we were supposed to leave, we finally took off. During the flight, I asked for earplugs to help with sleeping and they said they had ran out. We landed 1 hour off schedule and that was the end of my journey with AirAsia. I highly recommend Malaysia Airlines as an alternative as they have excellent service for a couple hundred RM more."
✅ Trip Verified ,,Couple Leisure,Economy Class,Cebu to Seoul via Manila,August 2024,3.0,1.0,3.0,1.0,,1.0,1,no,1," Learned the hard was that this is basically the Spirit Airlines of Asia. The flight may be cheap, but they don’t give a checked bag and also will weigh everything down to .01 kilo, even the personal item combined with the carry on to be less than 7 kg. Basically the situation where they charge low and look for reasons to charge more when you arrive. Recommend not booking with them."
✅ Trip Verified ,A320,Family Leisure,Economy Class,Kuala Lumpur to Jaipur ,July 2024,,,,,,2.0,3,no,2,"  Three hour delay, jam packed terminal and no information or help from ground crew. Poor F&B Services, and very few toilets. Information screens say something and staff says something else."
✅ Trip Verified ,A320-200,Family Leisure,Economy Class,Jakarta to Bangkok Don Mueang ,June 2024,4.0,4.0,,,,5.0,4,yes,9,"  Jakarta Soekarno-Hatta to Bangkok Don Mueang. Since I did not purchase anything but a certain amount of baggage allowance, I was automatically assigned a certain seat during boarding. I was originally selected to be seated far away from my other family members, but the check-in staff members are gracious enough to make us seated not far apart. Boarding was done and completed in a timely manner, and this time, they dispatched an aircraft that had the newest batch of AirAsia seats supplied by Mirus Hawk. The seat itself, despite being slimline, was comfortable and had a few inches of extra legroom compared to the usual AirAsia seats. The only drawback was that the seat pocket was made of woven rods glued to the seat which easily became detached under some load. The cabin itself was very clean, comfortable, and in good condition overall. Take-off was on time, and there was supposedly a free Wi-Fi onboard, but it did not work. The crews did not inform it being operative as well and there was no sign saying the plane has Wi-Fi, so it's safe to say that perhaps there was indeed no Wi-Fi. The cabin crews were efficient, professional, and attentive, but I think they could improve on friendliness and some communication skills as they weren't as friendly as my previous AirAsia and Indonesia AirAsia flights. Landing was 5 minutes ahead of schedule, and my bags were delivered relatively quickly. Overall, considering that they have just defended the World's Best Low Cost Airline title, they could have done better in some aspects, but it's safe to say, I still enjoyed the flight."
Not Verified ,,Couple Leisure,Economy Class,Kuala Lumpur to Shantou China ,July 2023,2.0,2.0,,,,1.0,2,no,1," I made a mistake booking the flight. The date I booked was one month out, Aug instead of July. I did not realise the system had defaulted to Aug. I tried to contact AirAsia, but everywhere I turned on their website and Move Mobile App I was referred to ""Chat to Bo"" (not a real person). One of the suggestions from Bo was to reschedule the flights to my intended date using the link provide by Bo. The penalty was 125% of the price of my original ticket using his link. Making it 225% of the price of the ticket. If I were to book another ticket for the appropriate date flight, I would save 25% and keep the other ticket as well (not sure what I would do with it, though). By then it was after hours (yes, they don't have after-hour service, for an airline?). I checked the net overnight, thank goodness, they do have a ""full refund if cancel within 24hr policy"". Also, I checked for the procedure for the refund. It seemed there was a way but it would require further information (the all-important Order Number) from AirAsia. Easy, but not really. This information used to be provided to the customer in the form of processing the order. In mine case, this information was withheld, and I can understand. Without this number, the refund process stalled. The system does not accept my confirmed book number/code which should be adequate for all booking matters. I continued, spending many hours, looking for avenue to talk to someone or somewhere in the App to point me in the direction. Found none. Their office starts at 9am. I phoned before, right on 9am, and many times after. Before 9am, it said it was outside office hours. Right at 9am, I was connected. Yeah! But, only to be told they have ""Unusually High Volume of Calls"" and referred me to their website or ""Chat with Bo"". In the first seconds of 9am? Come on! Are they kidding me? I logged 10 calls over the next hour all with the same message. No chance to queue at all. For those interest, I logged 38 times to Move (AirAsia) website in the morning until my 24hr period of free cancellation was exhausted. While they have the cancellation policy, my only conclusion is the purpose of Policy document is to provide cover for accreditation and they certainly have no intention to allow customers accessing it. Their IT specialist must have read Catch-22 many times to come up with the algorithm to make sure me, as a customer, go round and around and come back to the starting point or to get you paying a lot of money unnecessary. There is a big difference between a customer focus quality company and one that hides in the tall grass waiting for you to make a mistake and pounce on you. Unfortunately, AirAsia is of the latter group of companies."
✅ Trip Verified ,A320-200,Family Leisure,Economy Class,Yogyakarta to Kuala Lumpur ,June 2024,4.0,4.0,,5.0,5.0,5.0,4,yes,9,"  Yogyakarta to Kuala Lumpur onboard their Airbus A320-200. Check-in at Yogyakarta was absolutely fast and we were met with friendly staff members all around. Boarding was made slightly late, but at the end of the day, boarding was completed way before the scheduled departure time. The cabin was spotless and in its best condition, and my seat, albeit tight, was decent for this 2.5-hour flight. Sadly, paperwork issues grounded our aircraft by an hour. However, once we took off, the cabin staff members immediately served meals, beverages, and duty-free items. They were friendly but could have been a little bit friendlier and more proficient in their communication skills because they were inconsistent with the announcements. Some were done in Malay only, some were done in both English and Malay. They were also a bit too stern in their tone usage. Wi-Fi entertainment was provided on this flight and it ran very fast on both my phone and my laptop. It had plenty of selections, an improvement over my previous flight with their subsidiary, Indonesia AirAsia. Landing was obviously late, but I arrived at the carousel and only waited less than 5 minutes for my bag to arrive. Overall, this was an enjoyable short-haul international flight, and after knowing this airline for almost 15 years, they haven't failed my trust."
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Naha to Bangkok,May 2024,3.0,5.0,,,,4.0,5,yes,8,"  Check in efficient and friendly. Security check took about an hour, unusual for otherwise efficient Japanese airports. Boarding rather unorganized despite 6 gate agents. Flight uneventful, friendly IFA, flight arrived in BKK 30 minutes ahead of time. Recommended"
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Bangkok to Naha,May 2024,3.0,5.0,,,,5.0,5,yes,9,  Well organized boarding. Flight uneventful no frills and on time. Staff friendly and efficient. It’s the perfect flight if looking for a budget flight from Bangkok to Japan. Recommended
