status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,Boeing 737-800,Solo Leisure,Business Class,Jakarta to Sorong,August 2024,4.0,5.0,5.0,,,5.0,5,yes,9,"   I flew Garuda-Indonesia on GA682 from Jakarta to Sorong as it is night flight it leaves Jakarta just after midnight and arrives in Sorong just after 06:10am local time, however the flight duration is approx. 4 hours. At check in I was met by Garuda service Team member Hariyanto, and he helped and assisted me through security and into the lounge. As it is a late-night flight the lounge was not so busy, however there were sufficient snacks and drinks available and there were service team members were on hand if required. The Boarding Gate was No. 24, which is quite some way from the Lounge, therefore Hariyanto arranged for transport to the boarding gate. Upon arrival at the gate, I was able to board straight away. The business class section was full, but there was sufficient baggage space for my carryon luggage. After takeoff I was offered a selection of meals. The meals and drinks were more than sufficient for a flight of approx. 4 hours. The cabin crew were very engaging and helpful throughout the flight, even though they were quite busy with a full business class section. Overall, a good flight considering it is a night flight and short to medium duration."
✅ Trip Verified ,Boeing 737-800,Solo Leisure,Business Class,Singapore to Jakarta,July 2024,5.0,5.0,5.0,,,5.0,5,yes,10,"   Flew Garuda Indonesia from Singapore to Jakarta on the early morning flight. Check in is at Terminal-3, however the aircraft departs from Terminal-1 not great, however quite quick to get to Terminal-1 via the inter Terminal Train which takes less than 10 minutes including waiting time. The check in team were quite friendly and helpful and going through immigration in Singapore Changi airport is great as you can use the auto gates. Boarding the aircraft started early and we departed from the gate ahead of schedule and landed in Jakarta 30 minutes ahead schedule. Onboard the flight the service was very good with two the excellent cabin crew members serving us and they were Frida Mersiati and Utami Wigoti. Thank you both for great onboard service and the excellent breakfast meal. Upon arrival in Jakarta, I was meet by Rudy from the PSA Team who helped and assisted me via immigration, baggage collection and through customs out to my car. Great overall service."
✅ Trip Verified ,Boeing 777-300-ER,Family Leisure,First Class,Amsterdam to Jakarta,July 2024,5.0,5.0,5.0,4.0,5.0,5.0,5,yes,10,"  My family and I flew on GA-89 from Amsterdam to Jakarta July 2024. We were picked home from our hotel by two cars provided by Garuda-Indonesia. We were taken directly to the VIP center at Schiphol were all check-in, immigration and security formalities were carried out. Within the VIP lounge there are full pre-boarding meals available as well as snacks. When it came time for boarding my family and I were taken directly to the plane by car and were able to board the plane. Upon boarding we were welcomed and taken to our seats were the cabin crew introduced themselves. The team was made up of FSM Chrestian, MDC Yoshi, Chef Prima and Senior FA Sisty and they provided an outstanding service from take-off to landing in Jakarta. They went out of their way to accommodate my daughter’s special meal requirements and were always available throughout the flight. The selection of food onboard was quite extensive. The overall service provided from meals, table service cleanliness of the bathrooms etc. was excellent and my family and I would like to say a big thank to both the cabin crew and Jakarta First Class Team for an outstanding experience. Upon arrival in Jakarta, we were met by the Garuda First Class Team of Vianda and Hilman who escorted us through immigration and helped us get our baggage and then took us out to the two cars provided by Garuda-Indonesia to take us home."
✅ Trip Verified ,Boeing 777-300-ER,Family Leisure,First Class,Jakarta to Amsterdam,June 2024,5.0,5.0,5.0,4.0,,5.0,5,yes,10,"  My family and I flew on GA-88 from Jakarta to Amsterdam June 2024. We were picked home from our home by two cars provided by Garuda-Indonesia. At the airport we were met curbside by Garuda First Class support team who helped us check in and escorted us through fast-track security and immigration, then into the First-Class lounge. Within the Garuda First Class lounge there are VIP rooms and my family decided to have the pre-boarding full meal and drink service and the staff were very helpful and the meal was very well presented. Thak you to the First-Class Lounge Team. When it came time for boarding, we were escorted to the aircraft and to our seats by the First-Class Support Team. After we were seated the cabin crew introduced themselves and they give us a very warm welcome. Thank you Budiranti, Irma, Angeline & Deni for outstanding service and for being so engaging to my family and I throughout the flight as this made our flight quite enjoyable. My family and I bedded down a few hours after take-off and after the meal service which was prepared to order by the onboard chef. Throughout the flight the cabin crew were always on hand to serve snacks and drinks. For breakfast, my family and I ordered different meals, and all were served to order by the Chef onboard and were very well presented, there was also an excellent selection of side dishes. Upon arrival in Amsterdam, we were met by the VIP Team who took us to the VIP lounge where we went through immigration. This is an outstanding service provided by Garuda-Indonesia for its First-Class passengers and they also helped with our onwards flights. There is also a full meal service available in the VIP lounge and my children took advantage of this. Thank you, to the Garuda-Indonesia GA88 Team for an outstanding service to my family and me."
✅ Trip Verified ,Boeing 737-800,Business,Business Class,Jakarta to Sorong,June 2024,5.0,5.0,5.0,,,5.0,5,yes,10," I flew Garuda-Indonesia on GA682 from Jakarta to Sorong as the flight is a red eye it leaves Jakarta just after midnight and arrives in Sorong just after 06:00am local time, however the flight duration is just under 4 hours due to the time difference. At check in I was met at the Jakarta airport by Garuda service Team member Ms. Vianda, and she helped and assisted me through security and into the lounge. Thank you Vianda as you and your team have been most helpful to me and my family on flights to and from Jakarta this year. The lounge itself is quite large and there were sufficient hot and cold snacks and drinks available and there was service team members on hand if required. Boarding the plane was from Gate 13 which is very close to the lounge, therefore only a short walk. Boarding was called by seat class and seat number and was very orderly. I took my seat and was offered a selection of cold soft drinks, then after take off I was offered a selection of two meals and/or a sandwich. All three sections of food and drinks were more than sufficient for a flight of less than 4 hours. The cabin crew were very courteous and helpful throughout the flight even taking a few minutes to have a chat and asking about my wellbeing. We arrived in Sorong on time, and I had to wait only 12 minutes for my luggage to arrive on the carousel. Overall, a good flight considering it was a red eye flight."
✅ Trip Verified ,Boeing 777-300-ER,Solo Leisure,First Class,Jakarta to Amsterdam,May 2024,5.0,5.0,5.0,,,5.0,5,yes,10,"  I flew on GA-88 from Jakarta to Amsterdam May 2024. Jakarta airport was quite busy as long holiday weekend; however, I was helped by Nidya from the Garuda First Class Support Team for check in and through security, immigration and into the First-Class lounge. Within the Garuda First Class lounge there are VIP rooms and there offer full meal and drink services, however I chose simple snacks, however the staff were very engaging and helpful. The flight was delayed by 1 hours and 35 minutes due to the late arrival of inbound aircraft, when it came time for boarding, I was assisted by Nidya who escorted me to aircraft door and then I was met by the cabin crew. I was given a very warm welcome by George, Wiwiek, Sang and Chef Angga. I was escorted to my seat by Wiwiek and Sang and offered some soft drinks and some snacks. Thank you for your great service and interaction. I was quite tired, therefore just after take-off I bedded down and had a good 6 ~ 7 hours sleep. When I woke up the cabin crew were on hand to prove hot and cold beverages and they asked if I wanted something more substantial to eat. However, I declined and just said I would wait for breakfast and just had some hot team and biscuits. BTW breakfast would have been prepared anytime, however I waited until 3 hours prior to landing. Throughout the flight the cabin crew were always on hand, however there was some bad turbulence, however the pilot and crew handled this very well and suspended hot drink service, which considering the recent incident on another airline this was very appropriate. For breakfast I ordered an omelet together with a selection of side dishes and this was another great well-prepared meal by the chef onboard and served with tea and other condiments.. Upon arrival in Amsterdam, we met by the VIP Team who took us to the VIP lounge where we went through immigration. This is an outstanding service provide d by Garuda-Indonesia for its First-Class passengers. I then only had to wait 15 minutes to get my luggage and I was on my way. Thank you, Garuda-Indonesia I really appreciate the personal service onboard from the cabin crew and look forward to flying with them again.."
,A330 Neo,Solo Leisure,Business Class,Haneda to Jakarta,May 2024,5.0,5.0,2.0,2.0,1.0,5.0,5,yes,8,"So much about this flight was excellent. Unfortunately the food (both main meal and pre landing) were pretty bad. Quality was just not there and with no printed menu choices were not clear and sometimes hard to understand. Now that that is out of the way, I can say everything else was quite good. Seat was roomy and comfortable in all positions, crew was warm and efficient and boarding was easy. The flight left and arrived a few minutes early.The lounge at Haneda (TIAT) was also mediocre and Delta Lounge was not offered which should have been."
✅ Trip Verified ,Boeing 777-300-ER,Solo Leisure,First Class,Amsterdam to Jakarta,May 2024,5.0,5.0,5.0,,5.0,5.0,5,yes,10," I flew on GA-89 from Amsterdam to Jakarta in May 2024. From being picked up from my Hotel in Amsterdam South by a car provided by Garuda-Indonesia to being dropped off at Amsterdam Schiphol airport VIP lounge. I was brought to a special lounge area for Garuda Indonesia passengers. In the lounge all formalities were carried out such as check in and immigration. Within the VIP lounge there are full meal and drink facilities and the service it outstanding. When it came time from board, I was escorted to the aircraft by the Schiphol VIP team via car. This is a great service as it cuts out the long queues at security and immigration. Upon boarding I was given a very warm welcome by the cabin crew Mariska, Fesiti, Agnes, Chef David. I started off with a light meal of caviar and then had the main meal of salmon, which was very well prepared and the represented was outstanding. I then bedded down and had a good 6 hours sleep as the bed and clothing were very comfortable. Throughout the flight the cabin crew were available to service snacks and hot & soft drinks. For breakfast I ordered an omelet together with a selection of side dishes and this was another great meal serves with tea and coffee. Upon arrival in Jakarta, I was met at the aircraft door by the Garuda First Team of Herbert and Nidya who guided me through immigration, luggage collection and out to a car provided by Garuda-Indonesia to take me to my home. Door to door service is outstanding. Thank you, Garuda-Indonesia, for another excellent service. I also loggin to the wi fi service and the connectivity and download speeds were very good,"
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Jakarta to Sorong,April 2024,5.0,5.0,2.0,4.0,,4.0,3,yes,8,"  This was a red-eye midnight flight from Jakarta to Sorong. The flight was about 5 hours. The check-in was quite efficient and the seats were comfortable too. Efficient and courteous crew. The only issue was that the meal offered after boarding was only beef, with no other options, thankfully I had eaten before boarding else would have been ravenous. They also offered another light snack before arrival which was chicken but the food quality was quite disappointing. There was IFE even on the domestic flight with a limited but good collection of movies and serials."
✅ Trip Verified ,Boeing 737-800,Solo Leisure,Economy Class,Ternate to Jakarta,April 2024,5.0,4.0,3.0,4.0,,5.0,4,yes,7,"  The flight was comfortable with great legroom and in flight entertainment. The cabin crew was friendly and efficient, The first meal served on departure was quite good and filling but the snack offered near arrival was not the best."
