status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,Boeing 737-800,Solo Leisure,Economy Class,Bangkok to Kuala Lumpur,July 2024,4.0,4.0,4.0,5.0,,5.0,4,yes,8,"  Fast Check in, Security screening and immigration at BKK airport. Boarding well organized. The B738 was one of the refurbished planes with a free and bright interior. Food decent for this 2h flight. Flight attendants friendly. Just a few blanket available for the 150+ pax on this very cold flight. Overall recommended"
✅ Trip Verified ,,Family Leisure,Business Class,Bangkok to Kuala Lumpur,July 2024,1.0,1.0,,,,1.0,1,no,3," I’m travelling with a small child and baby solo, the airline crew was very unhelpful and rude to my family. They refused to let me bring my baby jogger travel pram on the plane despite me having purchased two business class seats. This was my only carry on and they still refused to let me bring it saying there was not space. I had paid for the space with my tickets. I do not recommend using this airline if you have small kids based on my experience."
✅ Trip Verified ,A330-300,Couple Leisure,Economy Class,Auckland to Kuching via Kuala Lumpur,June 2024,1.0,1.0,1.0,,,1.0,1,no,1,"  Worst airline ever, requested extra leg room for both flights. Stuffed up both. Seat 28a, 28c on A330-300 and return flight 28c / 28h. They charge people $70 per seat upgrade paid you $280 on my exit row seats. Some how ground staff muck around on both flights and staff don't fix their mistakes."
✅ Trip Verified ,A333/ /  A359,Couple Leisure,Business Class,Sydney to London via Kuala Lumpur,June 2024,3.0,4.0,4.0,3.0,3.0,4.0,4,yes,8,"  SYD to LHR via KUL. A333 older aircraft,  touch screen poor. Cabin crew great, food quality improved. KUL to LHR A359 newer aircraft, quiet and crew very good. Food quality very good Champagne Duval Leroy good, other wines could be improved. Kabuli Pulao / Ayam Perchek excellent. MAS has certainly improved. "
Not Verified ,,Couple Leisure,Economy Class,Perth to Penang via Kuala Lumpur,July 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," We flew 5 Malaysia Airlines flights in 1 week. Every flight was delayed some by 7 hrs or more. Cabin staff were surly. We booked extra luggage and they dropped it from the return flights and tried charging 700USD to take the amount we had already paid for. They were a good airline, but I will never fly them again."
Not Verified ,Boeing 737 max,Business,Economy Class,Kuala Lumpur to Kuching,June 2024,4.0,5.0,5.0,4.0,,5.0,5,yes,10,"   Good cabin and friendly cabin crew, but limited on entertainment movies. Ground staff very helpful, delicious food "
✅ Trip Verified ,,Solo Leisure,Economy Class,Heathrow to Denpasar via Kuala Lumpur,May 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1, Horrible experience. My flight was cancelled 3 times over 3 different days and on the last day the flight they put me on had a crazy long layover. The service was unacceptable too. Avoid this airline.
✅ Trip Verified ,,Family Leisure,Economy Class,Kuala Lumpur to Adelaide,May 2024,2.0,1.0,3.0,2.0,2.0,2.0,2,no,2,"  We’re travelling as a family with my nonverbal autistic son. During checked in, I showed them our GB Pockit pram with a non GB Pockit bag. The check in staff gave us an all okay to use this and can be kept in the overhead cabin as well. Unfortunately the flight attendant on the plane lectured us that it is not acceptable and was telling me that this can be offloaded because it was not safe. I have used the same pram and bag in Singapore Airlines with no problems at all and I made the due diligence to ask in the check in counter as well. What I didn’t like was the manner and attitude of this flight attendant in dealing with us. I don’t want to argue anymore because it’s already stressful traveling with a nonverbal autistic toddler. My husband and I were anxious whole flight it was a traumatic experience and MAS should train their staff on how to deal with passengers with special kids. I was expecting some empathy considering that their check in staff said it’s all good to bring on board. Appalling and disgusting experience overall!"
✅ Trip Verified ,Boeing 737-800,Solo Leisure,Business Class,Kuala Lumpur to Bangkok,May 2024,5.0,5.0,4.0,4.0,,4.0,5,yes,10,"  Boarding well organized, flight slightly delayed due to heavy air traffic in BKK. Friendly welcome by purser, was addressed by name throughout the flight. New upgraded cabin with comfortable seats and well functioning streaming IFE with an IPad holder where the screen used to be, good choice of movies. The usual good and hearty Malay catering. MH started giving out beer for flights under 3hours. Friendly and efficient staff, highly recommended."
✅ Trip Verified ,Boeing 737-800,Solo Leisure,Economy Class,Singapore to Kuala Lumpur,May 2024,4.0,5.0,4.0,,,5.0,5,yes,10,"  Fast and efficient checkin, immigration and security services. Boarding well organized, flight uneventful, on time, they even served a snack and water on this 45 min flight; recommended!"
✅ Trip Verified ,Boeing 737-800NG,Solo Leisure,First Class,Kuala Lumpur to Kuching,April 2024,3.0,5.0,4.0,2.0,1.0,5.0,4,yes,7," Ground service was great with seamless self check-in and baggage drop counter, definitely faster than conventional ones. Boarding began 20 minutes prior to departure and the flight departed on-time. The cabin crew were friendly and welcoming. I had the new narrowbody interior without IFE. Instead, wireless IFE was provided called MHStudio. I must admit it was absolutely annoying trying to connect to the WiFi and watch movie without buffers and lag. I only managed to watch the movie 45 minutes into the flight. I was too frustrated and exhausted to watch anything and went to sleep instead. The seat was quite uncomfortably hard and narrow. On the positive side, the lasagna did not disappoint me, although I wished the portion was larger."
✅ Trip Verified ,Boeing 737-800,Solo Leisure,Economy Class,Bangkok to Singapore via Kuala Lumpur,May 2024,5.0,5.0,5.0,4.0,5.0,4.0,5,yes,9,"  Checkin, security check and immigration at BKK airport fast and efficient. The aircraft had been recently refurbished, and looks bright, clean an comfortable. New wifi based entertainment system on own device worked well, with a decent choice of entertainment options. There were 3 meal options on this 2h flight, which was good in quantity and quality. Service was impeccable. Transit in KL was smooth, short flight to Singapore touched down 20 min ahead of schedule. The only negative point was that my high upgrade bid was unsuccessful, despite a half empty business class section. Overall, highly recommended"
✅ Trip Verified ,,Solo Leisure,Economy Class,Bangkok to Kuala Lumpur ,April 2024,3.0,5.0,4.0,2.0,1.0,3.0,5,yes,10, The flight stewardess (Farra Deyana) was outstanding in her service. She even recognised that I flew in her fight a few days ago from Sydney to Kuala Lumpur. She even remembered the drink I ordered. That shows the wholehearted service by this crew member. I was really impressed with her quality service in both flights.
✅ Trip Verified ,Boeing 737-800,Solo Leisure,Economy Class,Hanoi to Kuala Lumpur,May 2024,5.0,5.0,5.0,4.0,4.0,5.0,5,yes,8,  The flight from Hanoi to Kuala Lumpur was smooth. The cabin crew were attentive. The food was good. They installed a new seat with no in-flight display screen but you can use your phone and tablet to watch movies etc after connected to wifi.
✅ Trip Verified ,A330,Couple Leisure,Business Class,Melbourne to Kuala Lumpur,March 2024,3.0,4.0,4.0,4.0,,5.0,5,yes,7, Check-in was very smooth. The Marhaba lounge was basic but comfortable. The boarding process for business class passengers was muddly as there was no clear queue. Once onboard the welcome was friendly and I was pleased that there was a vegetarian version of the satay offered to all passengers early in the flight. All the vegetarian food served was of a high quality. Seating was 1-2-2 across the cabin. The pairs of seats by the window were narrower than the others and had less storage space - best to avoid these. Strangely there were no signs to indicate whether the toilets were occupied. The plane operated close to time. Overall a good experience for the price.
