status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,A320,Solo Leisure,Premium Economy,Manila to Legazpi ,August 2024,5.0,5.0,5.0,,,5.0,5.0,yes,10, As a regular traveler in this route I always admire the view when getting close to Legazpi. The view of Mayon Volcano is always a sight to behold. Good thing it was a clear day. The flight left Manila slightly ahead of schedule which was a surprise considering the traffic at MNL Airport. For forty five minutes flight I was given salmon sandwich & coffee which are hard to find nowadays.
✅ Trip Verified ,A330,Solo Leisure,Business Class,Riyadh to Manila,August 2024,4.0,5.0,5.0,4.0,,5.0,5.0,yes,10," I want to commend the great service by the crew assigned to our cabin, Sofia Hautea. She did an exemplary job making our flight enjoyable. Flight was early to depart which means we arrived quite ahead of our schedule. I always travel with Philippine Airlines for convenience and excellent service. Though I think they need to upgrade their hard products as they're outdated in today's standard for them to compete with big names in the industry."
Not Verified ,B777-300ER,Family Leisure,Economy Class,Vancouver to Manila,July 2024,5.0,5.0,5.0,4.0,3.0,5.0,5.0,yes,9, Kudos to all the staff at the counter at YVR for Philippines Airlines. Thank you for the complementary vouchers for all six of us so as for hotel accommodation due to the delayed flight which made our layover more convenient at least. As for the flight crew assigned on our aisle. Thank you so much for your excellent service. Hope to see you again
Not Verified ,,Solo Leisure,Economy Class,Melbourne to Cebu via Manila,July 2024,1.0,4.0,,2.0,1.0,1.0,1.0,no,1,"   Worst airline i have ever experienced. My friend and i had items stolen by baggage handlers in Cebu. We reported such to PAL on afternoon of 24/07 via phone and whilst the lady i spoke with was very kind and compassionate we have never received a response to such. On the 27/07 we returned to Melbourne and as my friend is a big gentlemen we asked if they could provide seating with a gap in the middle. The lady at check in said this was possible and moved us from row 8 to 23 only to find 2 seats in that row. Air host was fortunately able to find and alternate seat for me which was appreciated Upon return to Melbourne i found my luggage was not on the plane and i have advice this morning that it has just arrived (48 hours later). On a more positive note all of the air hosts were very good on all of our flights. Unfortunately whilst it is a beautiful country with largely wonderful people and i place i have loved diving at, i will never return, such was the profoundly negative impact of the experience."
✅ Trip Verified ,,Family Leisure,Premium Economy,Honolulu to Laoag via Manila,July 2024,4.0,1.0,1.0,4.0,,1.0,1.0,no,3,"  HNL-MNL flight was delayed which resulted in a longer layover than was planned after my previous connecting flight and extended taxing. All passengers with previous connecting flight (almost all) needed to re-check in at HNL to get new boarding passes and weigh their carry on bags. Only two employees at one desk were doing all of this which resulted in a very extended and crowded wait in line. Strict carry-on bag and personal item weight policy but employees were operating a non-digital scale which is bound to be inaccurate. Meals were sub-par. Seats were comfortable in premium economy but restricting at times. Several flight attendants were using strong cologne/perfume which would have been bearable had they not decided to use the row of empty seats behind me to sleep during which I was suffocating and getting dizzy from the smell. Bathroom floor was sticky and was not restocked with supplies. Towards the latter half of the flight there was no toilet paper or paper towel in the bathroom. Service was severely lacking during boarding and deplaning. MNL-LAO did not have enough overhead space for our carry ons due to the their inability to direct passengers to place their personal items below the seats instead of the overhead bin. Several passengers had more than 1 separate personal items that forced them to store one or more of these items in the over head bin rather than the area below the seat as they should be doing. I was asked to check in my carry on bag to which I said no due to the important items and electronic devices in my bags. When we landed we found out that several check-in baggage and gate-checked carry-on bags did not make it onto the flight due to insufficient space. If there was insufficient space why did they ask to check our carry ons in the first place? None of the nine checked luggage of my family made it onto our flight. No compensation was given for this inconvenience and was asked to travel all the way back to the Airport the next day to pick up the baggage. Which is ridiculous considering the travel time to and from the airport and the packed essentials in those bags. Overall, a disappointing flight on Philippine Airlines. This is not the first time and hope they improve in the future."
✅ Trip Verified ,A330,Solo Leisure,Business Class,Manila to Riyadh,June 2024,5.0,5.0,5.0,4.0,,5.0,5.0,yes,10,  Let me start by commending the crews both on ground & onboard. Ground crews at Manila check in counters were personable & warm. Didn’t take long to check as have many opened counters for Business Class passengers. On-board service was great too as expected with Philippine Airlines. Thankfully they added several choices of cocktails in the choices. I especially liked Boracay Sunset. Food options were good.
✅ Trip Verified ,A320,Family Leisure,Economy Class,Taipei to Manila,June 2024,5.0,5.0,5.0,4.0,,5.0,5.0,yes,10,  Check in was a breeze despite long lines. Agents warm and greeted with smiles. Service on board from crews Aleta and Cessna was commendable. These two made sure that we had comfortable and enjoyable flight. Was offered several refills on our beverage. Asked for extra meal and was happily provided. I cannot thank them enough. One of the best flights I had with Philippine Airlines.
✅ Trip Verified ,A320,Solo Leisure,Premium Economy,Daraga to Manila,June 2024,5.0,5.0,5.0,,,5.0,5.0,yes,10, Ground staff working efficiently. Check in was a breeze and baggage checked through to my international destination despite having a separate ticket. Flight departed few minutes ahead of schedule and arrived in Manila early. Served delicious salmon sandwich in this Forty minutes. Free shuttle transfer from Terminal 2 to Terminal 1. Ticket price reasonable.
✅ Trip Verified ,A320,Family Leisure,Economy Class,Manila to Taipei,June 2024,5.0,5.0,5.0,,,5.0,5.0,yes,10,"   I have to commend the ground staff who helped us made into our flight to Taipei with only about one hour to do terminal change from T2 to T1, Immigration procedures, etc. Though it wasn’t our fault as it was PR who delayed flight from BIA. We only had total of three days holiday in Taiwan so missing a flight means losing a lot from our itiniraries. But with PR’s helpful ground staff we made it to Taipe on time and as per our itinerary. Kudus PAL!"
✅ Trip Verified ,,Couple Leisure,Business Class,Manila to San Francisco,November 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,1," I celebrated my 40th Birthday in the Philippines and because of this special day I opted to spend a lot on Business class. Unfortunately their business class was absolutely terrible. While the food was mediocre the real issue was my seat. The seat was broken and if you tried to recline the bottom half that holds your legs up would collapse making your back bend and therefore making it impossible to recline. I basically had an economy seat. After, I reached out to the airline over 8 times, literally. Every single time I was promised by a manager that someone would reach out to me but it only happened on after the 8th attempt. Fast forward, the only thing they offered me was miles and no monetary refund. "
