status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
Not Verified ,Boeing 777,Solo Leisure,Economy Class,Sydney to Singapore,August 2024,4.0,5.0,4.0,4.0,4.0,1.0,1,no,3,"  I have flown SQ for years and also reached Solitaire status with them for the last few years. Generally, I have always been happy with their service until I encountered a problem. My recent experience with them on a flight from Sydney to Singapore was more than disappointing. The flight was supposed to leave at 11:00 am. However, when I arrived at the airport at 9:00 am I was told that there might be some delays due to technical problems. When I finished immigration and security, I was made aware that the flight was delayed to after 6:00 pm. No one from Singapore Airlines was available to talk to as I was looking to leave the airport and go back to the city instead of waiting the whole day at the airport. Unfortunately, the lounge was also closed due to renovation works. Luckily, we could use the Air New Zealand Lounge and employees there kept promising us that a SQ staff would come and talk to us in 10-15 minutes. In any way, they said that there will be an announcement when the SQ staff would arrive. Well, the staff never showed up until a couple of hours later and there was also never an announcement. Since SQ also just sent one rep, the queue was quite massive. While waiting in the queue a rep called me (I assume that happened because of my high tier status) and offered that I could rebook to the 3 pm flight but they would need to downgrade me to economy class. After asking them about the fare difference, they confirmed that the far difference will be compensated in cash later. I therefore accepted the rebooking. At the time when I was boarding the plane and they were scanning my ticket, they were suddenly asking me to sign a letter. After asking about the content of the letter, they told me that they would compensate me $400 but I would drop any further claims. I told them that I would not sign a letter I have never read while a queue is standing behind me and proceeded to board the plane. Since, I have not heard from them since that day, I was following up on my compensation. Their response is that they are unable to compensate me and said they would give me 20,000 KrisFlyer miles instead.  I did enjoy flying with SQ in the past and their cabin crew is second to none. However, dealing with SQ corporate when there is a problem is something I would like to avoid in the future. So I have decided to change airlines once i used all my miles."
✅ Trip Verified ,,Family Leisure,Economy Class,Darwin to Singapore,August 2024,5.0,5.0,5.0,5.0,5.0,5.0,5,yes,10,"   This was my first time for me to travel with Singapore Airlines. I had an amazing experience, food was wow and customer service excellent, very neat and tidy well organized. I will recommend to my Aussie kiwi and Fiji friends."
Not Verified ,,Business,Economy Class,Mumbai to Hangzhou ,August 2024,5.0,3.0,3.0,4.0,,3.0,3,yes,7," I am writing this review for the muslim meal preference, I requested for the muslim meal but meal was not provided, they said we have not booked, but we had booked, it was really sad, I didn't expect this from Singapore, first time it has happened to me. Really disappointed, they said it was not booked, but my agent rechecked it and it was done"
✅ Trip Verified ,,Solo Leisure,Economy Class,Tokyo to Gatwick via Singapore,August 2024,2.0,5.0,2.0,3.0,,1.0,4,yes,6,"   My flight from London to Singapore on the 18th was delayed by about an hour. I was worried about making my connection to Tokyo and asked the cabin crew how best to proceed when I arrived in Singapore. They told me not to worry as ground staff would be there to assist. When I arrived in Singapore, the only assistance was ground staff saying 'Tokyo flight that way' and pointing. I ended up having to sprint through the airport (a very long way) and only just made my connecting flight.  Either ground staff should have said that it was not possible to make the flight or they should have had transportation ready to get me to the gate quickly. Singapore Airlines made no effort to help me make the tight connection. As it was, my bags were unable to make it. This caused more inconvenience when I landed at Tokyo. Singapore Airlines ground staff were not very helpful. There were people around the baggage carousel to help me arrange delivery of my bags. However, the best that they could do was to offer to deliver the bags in two days. I said to the ground staff that if they couldn't deliver the bags for two days, could they provide me money to buy these essentials. They point-blank refused. I therefore insisted that the bags be delivered sooner. It was a real battle to get this sorted out and took almost an hour. This was after more than 30 hours after leaving my home in the UK. The ground staff seemed to have zero understanding of the fact that I was tired. They also kept offering to deliver the bags at times that I would be at work. It seemed a case of me having to work around their schedule rather than them having to work around mine. This whole lack of consideration for what was convenient for me after having had my bags delayed through no fault of my own, just added insult to injury. The airline also gave me a meal with fish in on the Tokyo to Singapore flight despite the fact that I had ordered a vegetarian meal. They did apologise profusely for this and gave me compensation in the form of a voucher. Singapore Airlines have amazing cabin crew. On all four flights, they went above and beyond to assist and ensure that I had a good journey. However, I feel like the airline is depending upon the excellent service/attitude of the cabin crew and that the rest of the airline's services leave a lot to be desired. The ground staff in particular were extremely unhelpful and seemed like they really were not interested in the customers. The check-in staff at London Gatwick were extremely unfriendly and rude.  I expect good service all round from an airline not just when I am in the air. While I love the in-flight service with Singapore Airlines, I would seriously consider whether to fly with them again due to the very poor service/attitude that the ground staff seem to have. A five-star airline (which has been voted the best airline in the world on several occasions) should have more to offer than simply excellent cabin crew."
✅ Trip Verified ,Boeing 737-8 Max,Family Leisure,Business Class,Kochi to Singapore ,August 2024,4.0,5.0,5.0,5.0,,1.0,5,yes,7," Family of three travelled from Kochi to Singapore on 15/8/2024. While we arrived at the boarding gate at there was more than 12 wheel chair bound passengers queueing in the Economy Class and Business Class lane. We were waiting in the business class queue to board when the female staff boarded 5 Economy class passengers. When queried she informed us that they are accompanying a passenger on wheel chair, I did not understand the logic in 5 persons helping one passenger on wheel chair. The process was a chaos and mis-managed. We had to wait on the ramp leading to the airplane door for more than 20 minutes. "
Not Verified ,A350,Solo Leisure,Business Class,Singapore to Tokyo Haneda,June 2024,2.0,2.0,4.0,4.0,,5.0,3,no,4," One of the worst if not the worst flight on SQ. Boarded last walked to my seat. FA was talking to the passenger seated in front of my seat. She acknowledged me and I sat down. No offer of pre takeoff drinks or hot towel. Same FA came to me and confirmed my meal order and said lunch would be served at 12pm. Flight was a day flight taking off at 9am. After takeoff again no after takeoff drink/nuts offered. Lights dimmed. Lunch was to be served around 1130am. So for 2 1/2 hours I did not see any FAs in the cabin. Nothing offered during that time. This is in Business Class mind you. Lunch service was the usual standard but honestly the crew were mediocre. Not to mention never saw the Inflight Manager the whole flight except just prior to landing. The seat was the regional type and I hate it. It's too cramped and uncomfortable. SQ your service has really gone down the hill. What has happened to the famous ""inflight service even other airlines talk about""? Very sad to see such a great airline before go down the drain."
✅ Trip Verified ,,Solo Leisure,Economy Class,Singapore to Istanbul ,November 2023,5.0,5.0,5.0,5.0,5.0,5.0,5,yes,10,"   My recent flight with Singapore Airlines was truly outstanding. From the smooth check-in process to the comfortable and well-maintained cabin, every aspect of the journey was exceptional. The in-flight entertainment options were extensive, and the meals were delicious and well-presented. A special thank you to Nur Atisah, whose remarkable service and warm demeanor made the flight even more enjoyable. Her attentiveness and care exemplify the high standards of Singapore Airlines and significantly enhanced my travel experience. Overall, Singapore Airlines delivers a superior flying experience, and I highly recommend them for anyone seeking comfort and exceptional service."
✅ Trip Verified ,,Couple Leisure,Business Class,Singapore to Melbourne,July 2024,5.0,5.0,5.0,5.0,,5.0,5,yes,10, Could not ask for better service. Went out of there way to help as my wife is in a wheelchair no matter what we asked for was no trouble. Even got chair as she could not walk to toilet. Thank you very mutch
✅ Trip Verified ,A380-800,Family Leisure,Economy Class,Singapore to Hong Kong,July 2024,4.0,2.0,4.0,3.0,3.0,3.0,5,no,5,"   Just arrived today Jul 31 with SQ892. Flight full, Krisworld connection Wi-fi Inconsistent. Trio Flight attendant serving my row 67A is rude and disrespectful and showing impatient attitude when asking for more drinks and keep gossip nearby galley. Heavy rain and hard landing at 25R at 1345 and long 18 mins taxi docked at gate 5 at 1403."
✅ Trip Verified ,,Family Leisure,Economy Class,Bangkok to Haneda via Singapore,July 2024,3.0,3.0,3.0,3.0,,1.0,2,no,1," I took a flight from Bangkok to Tokyo via Singapore and was told that one of my luggages could not be placed on the flight from Singapore to Tokyo. The ground staff in Tokyo explained that it was because the flight I chose had a short connection time. No, no, no, this flight was recommended by Singapore Airlines when I made the reservation, rather than my choice. She said the package was late because I chose it? I have never heard such a nonsensical shifting of responsibility before. Moreover, the ground staff explained that Singapore Airlines is not responsible for checked baggage and that this was agreed upon at the time of booking. Well, this is what I call an irresponsible handling. She further explained that the package would not arrive at my place only after 2 days. In Japan, logistics is so advanced that it is normal for a package to arrive on the same day as the shipping date if it is in Tokyo. When I pointed this out, they finally arranged for same day delivery after a 30 minute wait. In other words, it was Singapore Airlines' fault, but they would not make the best arrangements unless we told them. However, the next day I received another call. They don't know why, but I was told that my luggage was not loaded on the scheduled flight at Changi Airport again and did not arrive in Tokyo the next day. Will my package ever be delivered? I have found this company to be mismanaged, irresponsible, and responsible without any shame. Please be careful, everyone."
