status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,A320-200,Couple Leisure,Economy Class,Bangkok to Chiangmai,August 2024,5.0,5.0,5.0,,,5.0,5,yes,10,"   We had a very good experience with Thai Airways staff during our trip from Bangkok to Chiangmai (TG 164). My wife had accident before flight and was unable to walk normally. During check-in at Suvarnabhumi airport, the young male staff at check-in counter was very kind and helpful. He tried to find the front row seat to move my wife from the back row seat but was unable to do so because the flight was fully booked. Therefore, he arranged wheelchair service for my wife to the gate. Unfortunately, this flight would depart from bus gate not normal gate with Jet bridge and my wife was unable to walk up by stair to airplane. Thai Airways staff at the gate were very helpful and kind enough to prepare the Lift bus to take my wife to the plane’s side door and also prepare special wheelchair that can move in aisle of the plane as we were seat in Row 54. The cabin staff were very attentive and helpful as well. The flight was good, arrived a little late due to heavy traffic at airport of departure. The service by cabin staff was very good and friendly indeed. They served us with snack (green curry bun - very tasty) and a bottle of mineral water. We really appreciated excellent service by Thai Airways staff both ground and flight crew."
✅ Trip Verified ,,Solo Leisure,Economy Class,Heathrow to Melbourne via Bangkok,July 2024,4.0,5.0,3.0,3.0,,3.0,1,yes,6,"  LHR - BKK. Not a bad flight. Flew the other way last month and the plane felt more quiet and comfortable than this one. I ordered a special meal because of allergies, but they either gave it to someone else or didn't have it on board, so I ended up having to have a kids meal. I'm a big guy and was left hungry. No snacks on the flight or water handed out. Really frustrating when they dont on long hauls. Also discriminating that I have to pay for an exit seat because of my excessive height. I'll start an online petition soon so tall people hopefully won't have to pay anymore to be as comfortable as other people on aeroplanes. I used to get them for nothing, but now airlines charge for those seats, just to make more money (after Covid). We shouldn't have to pay! Second meal on the flight was also insufficient. Entertainment lacks too, quality of films is poor and the amount too. Same movies as 6 weeks ago, not sure how often they're changed. Luckily I had Netflix on my phone or I'd of been very bored. TV shows very basic and not much range of English speaking ones too. Staff are great, cleanliness of the plane too. BKK - MEL. Very comfortable seat. OK entertainment, but could be more variety for English speaking people. Food was great. They didn't have the meal I requested, but they sorted me out and I was very happy. Same entertainment on TA for the last 6 weeks, so if you do a return flight with them choose what you watch carefully, as there's a limited amount of shows and movies. Great staff as always, and always clean and tidy in the bathrooms. When at BKK I was given the wrong seat (I'd paid for exit row as im very tall), they said I couldn't have it unless I paid again, which was very frustrating. Eventually after 45minutes at the counter and showing them all my documents, they changed it. A bit ridiculous really considering I had proof I'd paid for the seat(s). There were many empty ones anyway. Good flight overall. I booked last minute and paid a lot for it. I was shown only a few empty seats, however, there were a lot upon boarding. Slightly misleading. That's why Im giving 1 star for value for money."
✅ Trip Verified ,Boeing 787,Solo Leisure,Business Class,Bangkok to Perth,July 2024,2.0,2.0,3.0,2.0,,4.0,2,no,6,  A round trip PER-BKK . Both flights were delayed without explanation. The business class seats are at the lower level of quality .If you are seated in a window seat you have to step over an adjoining passenger to reach the aisle. The seats are old and narrow and very uncomfortable for sleep and on my seat the light did not work . The Screen is very small and is situated on the back of the seat in front. The food from Perth was of a good standard but from Bangkok there was no European breakfast available and the Coffee and bread that were offered were cold. All in all a far cry from the old Thai experience. BKK remains one of the least passenger friendly airports and the walk from the plane to immigration was a tad under a kilometre. The good news was that the baggage that was labelled priority actually did arrive as priority and that is a rare occurrence these days . I would not fly on a longer segment with Thai until they upgraded their planes.
✅ Trip Verified ,,Family Leisure,Economy Class,Copenhagen to Bangkok,May 2024,3.0,4.0,3.0,3.0,,4.0,3,no,3," They damaged my luggaged in several places. Pierre is a good quality luggage and it was the third time I used it. The weight did not exceed 25 kgs so, it could not have been a heavy luggage. I made a complaint and it took 3 weeks for them to reply asking me to send pictures of the damage. I sent the pictures the same day. Then, didn't hear from them like 2 weeks again. Then, they replied for the second time and asked me to take the luggage to the repair shop and they will reimburse the expense. I went to the repair shop with my luggage and the expert on the luggage said that the cost to repair will not be cheap and suggested it is rather better to buy a new luggage or put a duct tape. I don't want to put a duct tape on my nice luggage and replied to Thai Airways on 6th june and they have not replied me until today (21st July). Definitely not flying with them again and will definitely not recommend anyone."
Not Verified ,A350-900,Business,Business Class,Sydney to Bangkok,July 2024,5.0,5.0,3.0,3.0,1.0,1.0,2,no,4, Took Thai business class first time to Bangkok. From SYD normally I take Qatar or Qantas! Was over 7 kg weight limit due to tight allowance compared to others they charged me $450 extra! Top service in air& food but $450 extra for 7 kg bus class ticket was too much! No more Thai for me!
Not Verified ,A350,Family Leisure,Economy Class,Bangkok to Hong Kong,January 2024,5.0,4.0,5.0,5.0,4.0,5.0,4,yes,7,  The staff are friendly and the seat is comfortable. The air ticket is a bit expensive. There are TV and many delicious foods to eat. This is the best airlines I have travelled.
Not Verified ,Boeing 777 300ER,Family Leisure,Economy Class,Frankfurt to Bangkok,July 2024,5.0,5.0,5.0,4.0,,5.0,5,yes,9,"   Flight was great and comfortable seat layout was also great, Thai Airways has a 3-3-3 seat layout. I was impressed by the legroom! 32 inch (81 Cm), it gives a feeling that THAI actually cares about experience. Overall food was good. You had 2 options I had chicken with rise the other was mashed beteatos. Inflight entertainment was fine but could be updated. Cabin crew was Super friendly and hard working. Overall the flight was smooth as Silk!"
✅ Trip Verified ,Boeing 787-9,Family Leisure,Economy Class,Bangkok to Jakarta ,June 2024,5.0,5.0,5.0,5.0,,4.0,5,yes,10,"  Bangkok Suvarnabhumi to Jakarta Soekarno-Hatta onboard their Boeing 787-9 on my second time taking TG433. Check-in at Bangkok Suvarnabhumi was relatively smooth sailing, but considering Thailand is known as the ""Land of Smiles"", I think the check-in agent could have been just a bit friendlier and more smiley. That being said, the rest of the ground staff members lived up to that title. Boarding was done late, and once I stepped onboard, I was welcomed by the fresh, clean, and comfortable cabin with wonderful mood lighting. The crews even set the light to do some rainbow-themed light show onboard. My seat, 57K, was very comfortable, user-friendly, and had plenty of features. The only possible drawback was that the seat slid forward when reclined, but for me, it wasn't a problem. The take-off was late, but afterwards, despite some turbulence, meal service commenced. There were two options: an omelet with chicken sausage and a chicken stew with rice and vegetables. I opted for the latter, which was presented nicely and tasted delicious. It reminded me of what I would usually have in some Asian restaurant. The In-Flight Entertainment was very responsive and had a customizable, beautiful layout. It wasn't too bad on the content side as well; however, more contents could have been added, especially the Western selections. The flight attendants of this flight truly lived up to the Royal Orchid branding. They were all hardworking, friendly, attentive, caring, and cheerful, although they were sometimes rushed when it came to explaining the menu. What I liked about them was that they strictly enforced the no-lavatory policy during turbulence but were also polite in enforcing it. The flight crews also gave the passengers enough time to prepare for the turbulence, with announcements warning passengers that a cloud-covered area was coming. They also put the seatbelt sign on long before the turbulence and everyone complied. There were a couple of passengers who, perhaps by an honest mistake, disregarded the sign, and the crews remained polite while staying firm. Landing was only a few minutes late, and the bag did take a considerable amount of time to arrive. Overall, this flight was better than my previous TG433 flight, and that Royal Orchid branding just keeps on blooming. This flight just strengthened my trust in them."
✅ Trip Verified ,,Business,Economy Class,Bangkok to Tokyo,March 2024,,,,,,,2,no,3,"  Used to fly quite a lot with Thai and was always happy with their service. However, so far never had to cancel. This time wasn’t sure I will need that flight so bought a refundable fare. When trying to cancel, realized that the airline makes this specially difficult to do as there is no way to do it yourself online nor clear instructions how to do it. My emails were not answered. After finally getting through via the phone was told that it will take 180 days not including holidays and weekends to process the refund. 5 months on and still waiting for my money. Never again Thai Airways, this is not a way to treat your customers."
✅ Trip Verified ,,Solo Leisure,Economy Class,Melbourne to London via Bangkok,June 2024,5.0,4.0,3.0,3.0,,4.0,1,yes,7,"  First leg MEL to BKK on an A350-900. Food was OK, nothing special, but adequate. Lack of snacks and drinks though which is disappointing, liquids should be regularly provided on long hauls. Seat was very comfortable though which was nice, very good recline. Entertainment sub-par from a big airline like TA, I was disappointed, a lot of the films were unknown to me and not 'good' movies, TV shows were barely watchable. Quiet and comfy journey, polite staff, overall a good flight, no complaints. Two people had medical problems, fainting, which I think was due to the heat inside the plane, it was very hot in my opinion. Usually I wrap up because it gets cold with the AC, but I had to strip off and I was still dripping with sweat. Maybe they had an issue with the system. Second leg was on a 777-300, which had a random seat layout. I was in 49H which felt was obstructing the aisle, I was in front of the curtain and there was only just enough room for the trolley to get past. When I booked the flight there were only a few seats left, however, the plane was only half full, which meant many lucky passengers got rows to themselves. I'm frustrated at that because I only had 2 seat options for extra leg room as I have to have one due to my excessive height, yet there were many exit seats empty which had more space than my seat. The TV was all sticky and dirty, covered in coffee and tar which I had to clean myself. Barely any water or drinks handed out on the 12.5hr trip which is frustrating. Seat was comfy though, great recline, food was better than the first leg. There seemed to be a leak from the AC near my seat and a lot of water was running down the bulkhead. Quiet flight, same entertainment as the first leg (not uncommon), but overall a good trip. Staff were friendly and helpful, which I always expect from TA. I paid a lot for the return flight, as I had to book last minute, and due to the amount of empty seats I'm scoring it low on value for money, I feel mislead because of what I was shown as seat availability."
