status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,,Couple Leisure,Economy Class,Ho Chi Minh to Perth,August 2024,3.0,3.0,1.0,,,1.0,1,no,1,"   Money making enterprise, preying off customers with flights re-timed/cancelled (suspect consolidating passenger lists), long checkin processes, cabin baggage extras and poor meals availability. We had 4 flights with Viet Jet (Perth-HCM-HAN return) and only 1 was per initial scheduled itinerary. Not great when planning holidays end to end with international transfers. Notice always recieved by email and SMS so at least allowed decisions to be taken (at your inconvienience). If your flight is retimed by 1-5h VietJet will put you on the next flight if you front up to a ticket counter at the departing airport (no cost - but only area we saved). Cannot pre-buy more than 20kgs online nor add more kgs after booking confirmed - you have to buy at VietJet ticket desk (please fix this VietJet). Being well travelled, we bought an extra 7kgs a few days before our flights home to fit in some shopping -cost us VND2.2mil at ticket office (thought we got ahead of 20kgs check maximum and luggage dramas - so we thought). Will weigh all your personnel items ladies and combine into carry on (no more than 9kg allowed). Had 11kgs one flight with wifes handbag and had to check in a 9kg carry on bag (no choice to repack as already dispatched checked bags). Another trip to ticketing desk that cost us VND 2.8mil. We nearly missed that flight after 2.30h waiting in lines at HCM. PS. VietJet staff should keep an eye on less honest people who were leaving their carry on bags in line up or with friends and taking on board anyway without having a cabin baggage tag - at least be consistent with policies! You see multiple customers carry on 2-3 bags each (no way that 9kgs a passenger). Booked exit row all the way but lost our seat allocation on one retimed domestic flight - no refunds or explanations. My wife wanted to move from an exit row and sleep in a free row, but staff want to charge another fee per on-board seat change policy. We didnt pre order any meals, but by the time they get to selling to us in row 11, we find only hot noodles or pork bah mi available on international flights (not great when dont eat pork for a 6h flight). PS. VietJet only take cash - no cards. There is no free anything on board (incl water). With all the stress/lost holiday time and extra cost it would have been cheaper and better to go with a full service airline. CANNOT RECOMMEND."
Not Verified ,,Solo Leisure,Economy Class,Hanoi to Ho Chi Minh City,August 2024,1.0,1.0,,,,1.0,1,no,2,  Flew twice delayed both ways. 1 flight was cancelled with no information. Staff does not bother to inform you of any delays even though you are standing in front of them The cabin crew and ground staff are rude and incompetent. Never fly this airline!
✅ Trip Verified ,,Family Leisure,Economy Class,Busan to Nha Trang,August 2024,1.0,2.0,,,,1.0,1,no,1,"   Avoid Vietjet unless you're willing to have your trip ruined by an airline that doesn't care about its customers. Flight to Vietnam was delayed by three hours. When I looked at the departure board, I saw that all other Vietjet flights were also delayed. It seems like this is typical for the airline. Seat was broken on the plane so it reclined every time I leaned back. Flight back to Korea was even worse. Our flight was at 1am on Saturday morning, but after waiting over thirty minutes to get to the check-in desk, they told us that the flight had been changed to a smaller plane and there weren't enough seats for everyone so we couldn't get on the plane. We were then directed to an extremely callous manager who told us that all flights to Korea were fully booked for the entire weekend so we could either cancel our flight and get a refund or sit in the airport for the whole weekend hoping someone would cancel so we could take their seats. We had my four year old son with us so that option was impossible, and when I explained that to the manager he started shouting at me. In the end, we had to cancel the flight and book a flight with a different airline to another city in Korea for double the refund amount, then get a connecting flight back for our home city for an additional cost. The manager seemed very happy when I agreed to cancel and I hated to give him the satisfaction, but when your child is crying and asking why we can't go home, you'll do almost anything to get him out of that situation."
✅ Trip Verified ,,Solo Leisure,Economy Class,Ho Chi Minh to Da Nang,August 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," I flew with them multiple times. They delay flights often. And it’s happened again. On top of it they weigh every single piece of your luggage and charge you for everything. If you exceeded the limit — they will definitely take an advantage and will charge you money. They earn on everything : seat selection, for water. Terrible — avoid by all means! Next time I will choose another airline"
✅ Trip Verified ,,Solo Leisure,Economy Class,Hanoi to Phu Quoc,July 2024,5.0,5.0,5.0,,,5.0,5,yes,10,"   I have flown with VietJet four or five times now and have only praise. Once, I received an email saying that my flight had been re-scheduled by one hour - later (I received this five hours before my flight departure). Although a tiny bit inconvenient, at least they notified me. The planes, staff, prices and add-on services are absolutely excellent and offer exceptional value for money. The airline also flies to some great destinations that would normally involve two stops with the traditional airlines. I have just booked a flight from Phu Quok to Bangkok with VietJet and is currently the only airline offering this direct flight. The planes are a bit bigger than LCC's that I have used in the past. Although it may be just the time of the year, there has been ample space on the plane."
✅ Trip Verified ,,Couple Leisure,Economy Class,Ho chi minh to Da Nang,July 2024,1.0,1.0,,,,1.0,1,no,1,"   Always delayed. I knew this already but I had to book another flight with them because no other companies had the right schedule for me. As a result, a flight scheduled at 10pm was rescheduled 3 times to 11:30, 12:35, and finally 2am. This is our flight back to Saigon, and it's happening after our flight to da Nang was rescheduled from 2:35 to 4pm. Wonderful work Vietjet Air"
✅ Trip Verified ,,Family Leisure,Economy Class,Da Nang to Ho Chi Minh City,July 2024,1.0,4.0,1.0,,,1.0,2,no,1,"  The worst airline in Vietnam. Ticket is cheap, however, it will kill all your plans. I had a flight at 8:55PM. It is pushed back to 8:25PM. When I got to the airport in Da Nang, I got the notification that it was now delayed till 9:30PM. Could not do anything else but wait. At 9:00PM, got another notification that the flight was delayed to 10:00PM. I was at the airport for 3 hours without knowing when I could get on the plane. VietJet squeezed all the flights they had that night in one flight, which was the 10:00PM one. Also, 10:00PM was not the time the plane flied, they boarded at 10:00pm. Got off the plane and waited 40 minutes more to get my checked bag without any clear explanation for the airline nor any staff. My plan was to get to Sai Gon at 10pm, and Vietjet ruined it. It was the most horrible flight I’ve ever gone. Some may say that “it only happens a couple times”. Yea, just a couple. 8/10 of the flights are delayed. Some even got delayed overnight. I know the flight is cheap but there is always a catch. If you value money over your plan, time, and experience, go with Vietjet. Otherwise, keep away from this airline even though the price is tempting. Vietjet knows this problem, but they choose to ignore it, and Vietnam does not have strict rule on airlines, so there will be no benefit for you if they flight is delayed or cancelled. Pick wisely!"
Not Verified ,A330,Solo Leisure,Economy Class,Ho Chi Minh City to Hanoi,July 2024,1.0,1.0,1.0,1.0,1.0,3.0,2,no,1," Almost every flight is delayed, delays of many hours are normal. There is no advance notice, no way to call the hotline number, and when arriving at the airport there is no flight to change. Terrible."
✅ Trip Verified ,,Solo Leisure,Economy Class,Da nang to Bangkok,July 2024,3.0,3.0,,,,1.0,2,no,2,"  I just encountered an issue with Vietjet Airlines at Da Nang International Airport. Despite my ticket clearly stating that I'm allowed one personal item and one carry-on (max 7kg), the agents insisted on combining both items and charging me for a checked bag. When I asked for clarification, they became dismissive and rude, refusing to explain their reasoning. Instead, they started speaking in their native language, seemingly gossiping and insulting me. I hope Vietjet can improve their customer service and ensure consistent policy enforcement."
Not Verified ,,Solo Leisure,Economy Class,Ha Noi to Buon Ma Thuot,July 2024,5.0,5.0,5.0,,,5.0,5,yes,10,"   The 6:15 flight departed on time and arrived 15 minutes earlier than scheduled. The check-in counter staff were very efficient and professional, providing thorough guidance through the check-in process. The flight attendants were friendly and enthusiastic, assisting passengers with organizing their carry-on luggage. When a passenger felt airsick, the attendant responded promptly by preparing a vomit bag and providing assistance."
Not Verified ,,Family Leisure,Economy Class,Perth to Ho Chi Minh City,July 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   If You are going to travel with infants and kids using Vietjet you should read this review.  During our first flight from Perth to Ho Chi Minh City, we were allocated seats at the back of the plane, seat 38 with a 5 months old baby, 3 years old toddler and 7 years old kid. It was highly inconvenient (hot, noisy and shaking) , especially considering we were traveling with young children who require extra attention and care.  My infant and toddler got sick after the flight. So for our return flight I purchased front row seats, 3A, 3B, 3C, and 4C, where we would be able to sit together with my husband and attend to the needs of our children more effectively. However, upon check-in, we were informed that our seats had been reallocated further down the plane, seats 14D, 14E, 14F, and my husband was assigned seat 17C, separate from the rest of our family. We were informed that our seats had been given to business-class passengers without any further explanation or consideration. To make matters worse, she mentioned that we ""may or may not"" receive a refund. This dismissive and unsatisfactory response left us feeling angered and neglected. The lack of empathy, understanding, and professionalism displayed by your staff during this experience is deeply concerning."
Not Verified ,,Family Leisure,Economy Class,Phú Quốc to Hồ Chí Minh,July 2024,1.0,1.0,,,,1.0,2,no,1,"   VietJet Air is infamous for their lateness and delay. All of my friends and family have warned me about Vietjet but I thought how bad can it be and they did pretty badly. For a start, there was a delay of 30 minutes and when we have finally embarked on the plane, the plane smells really bad. The seat is torn and the arm rests are old and peeled. There was rubbish on the floor when we first walked in. Overall it wasn't an enjoyable flight. "
Not Verified ,,Solo Leisure,Economy Class,Hi Chi Minh to Bangkok,July 2024,1.0,1.0,,,,1.0,1,no,1,"   Have flown a number of times, they are constantly late/delayed or don’t fly at all.  You talk to staff and they are too busy doing hair, sleeping or playing games on phone!! Budget airline, absolute joke."
✅ Trip Verified ,,Couple Leisure,Economy Class,Ho Chi Minh City to Da Nang,July 2024,2.0,2.0,1.0,,,1.0,1,no,1,"  Appalling airline. We had lengthy delays both on our outbound and return. Our outbound journey was delayed from 22:10 to 01:00 which was bad enough, but our flight back was even worse. For our return journey we were only notified at 18:30 that our 20:55 flight had been delayed until 12:05, then later contacted again to be told it was rescheduled for 03:20. The explanation they gave us when boarding was bad weather in Ho Chi Minh City, which we knew to be to be lies as we have relatives there who confirmed there was no rain in the after 20:00. It seems that Vietjet don’t care about customers’ schedules and are content to delay everyone’s flights until they can fill a plane to full capacity. No wonder domestic tourism is down with service like this. I will personally never use Vietjet again and will recommend to others to find alternative airlines or train service. Being delayed by 6 hours for a 1 hour flight is unacceptable. Especially when you pay a higher fare for a peak time, then get delayed to a time which was available at a much lower price!"
✅ Trip Verified ,,Couple Leisure,Economy Class,Da Nang to Ho Chi Minh,July 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  Literally the most unreliable airline, every single flight we booked through Vietnam was delayed. The most irritating part is that they claim to send you a mail intimating you of delay. In some cases they do, but in most cases they do not. Please avoid flying viet jet. You won’t regret it."
✅ Trip Verified ,,Solo Leisure,Business Class,Ho Chi Minh to Brisbane,July 2024,2.0,3.0,1.0,,,1.0,1,no,1,"  During my flight in business class from Vietnam to Brisbane, I suffered from food poisoning. Upon landing at Brisbane airport, I was taken to the hospital by ambulance without going through immigration and customs. I worried if I missed the flight to Cairns at 8:45 am. I was discharged from the hospital at 5:45 am. My daughter booked a room for me at the Pullman Airport Hotel, but I didn't get a chance to go. Additionally, I needed to retrieve my three suitcases from the international airport. I made multiple trips between the domestic and international airport, finally, I found the hand luggage company. They said they would arrange my suitcases get delivered to my home. But it's been for 4 days and nothing happens. I rang them twice a day and left a message, but they never call me back. I send a complaint email to Vietjet. They sent me an automated response only. Vietjet has never asked me how I was.  Don't fly with Vietjet. They are a worst airline company."
Not Verified ,,Family Leisure,Premium Economy,Sydney to Ho Chi Minh City,July 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Extremely dirty lavatory, expensive food, bought a 350ml water bottle for $2 US, seat is too small. Highly not recommend for anyone. Vietjet Air has a slogan ""flight is like"", I change to ""flight once say goodbye"""
Not Verified ,,Solo Leisure,Economy Class,Hanoi to Melbourne via Ho Chi Minh,July 2024,2.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   Absolutely rubbish airline, the lack of customer services or effort to assist customers is worse than terrible. Also the amount of times they change the flight times is ridiculous so keeping track of your flight is an ongoing battle"
✅ Trip Verified ,,Business,Economy Class,Hi Chi Min City to Vinh,June 2024,3.0,4.0,3.0,2.0,2.0,3.0,3,yes,6,"  In mid-June, I had a round-trip flight with vietjet air I departed from Ho Chi Minh City airport and flew to Vinh Airport. Even though it is a low-cost airline, I found the flight service to be quite good, especially the flight attendants on the plane. They communicated and served meals on my flight quite friendly and attentive, just There is one thing that makes me not very satisfied, that is the checked baggage delivery service is not very good, my suitcase was quite scratched during transportation, perhaps this problem lies in the service of the airline. At the airport, it is advised that you wrap your luggage carefully if you have to check it in."
✅ Trip Verified ,,Couple Leisure,Economy Class,Hà Nội to Sài Gòn,June 2024,1.0,1.0,,1.0,1.0,2.0,2,no,3,"  We fly Vietjet 4 times in the last 10 days. 2 times delay. That make it 50% delay. For today, original time is 13:50. New time is 17:50 This is unacceptable for any airline. I will not book another flight with this airline."
Not Verified ,A333,Solo Leisure,Premium Economy,Delhi to Hanoi,June 2024,1.0,3.0,,1.0,1.0,1.0,2,no,3,"   Booking: easy through web site. Checkin ok. However, I had selected priority checking and when in the checkin queue, I asked to one Vietjet assistance for the priority check, he instructed to follow the same queue as the others. When checking in, other assistance realized that I should pass through other queue. During checking I asked for an upgrade. I was granted with premium economy. The counter girls issue the new seat and told I had to pay. Usually is the opposite, you are advised about the price before issue the new boarding pass. Price was 1800INR, seems ok so I proceed. No baggage checked.  The premium seat is the same as an eco, there is no difference, width all the same. Seat distribution is 9 seat abreast per row. Ie, high density for an A333. I also realized the business was empty, when asked the assistance, they declared it was empty by purpose and not allowed to upgrade to business.  Service low cost. There are not even pillow for the passenger despite it was a night flight.  No IFE or wifi, or USB charging point. I have no intention to fly again in Vietjet except is no other option is available or is much price convenient. Positive was the times that were met."
✅ Trip Verified ,,Business,Economy Class,Hochiminh to Da Nang,June 2024,1.0,1.0,,,,1.0,1,no,1,"  The worst ever. Just keep changing the time and delaying, even 3 or 4 time changes for 1 flight. Also air crew were impolite and rude to me  Nothing good to say about this airline. "
✅ Trip Verified ,,Solo Leisure,Economy Class,Ho Chi Minh city to Quy Nhon city,June 2024,5.0,5.0,,,,5.0,5,yes,10,"  I had a flight from Ho Chi Minh to Quy Nhon with Vietjet Air The flight was on time, the check-in counter staff was very professional and I was given a leg-wide seat at no extra charge. In flight, cabin crew was friendly and enthusiastic. I had a very good experience for this flight."
Not Verified ,,Couple Leisure,Economy Class,Ho Chi Minh to Da Nang,June 2024,1.0,1.0,,,,1.0,1,no,1," Extremely bad attitude when answering customer's questions and dealing with customer's problems. They don't have the necessary skills, especially the counter staff and ground service staff, to take care of customers. They lack manners and possess poor attitudes in their work, with no customer's customer-centric thinking approach, only themselves. They are Vietnamese airlines that serve both Vietnamese and foreign customers but their operations are only as if their customers are all Vietnamese in terms of flight booking, when asking for the customer's name this process looks like they are trying to scam the customer to get more money by framing the customer fall into their traps of ""it's your fault"". The way the customer care staff handles the customer's inquiries is also extremely rude they act as if they were the customer's god or superior with no respect or sympathy. This makes me as a customer along with many others feel bad and as if they had made a huge mistake to their god or boss. Besides, when booking the flight for 2 people, they give the option of selecting 2 checked baggage which makes no sense when there are 2 tickets for 2 people on the same flight at the same time but with only one checked baggage, it was only one option for 1 checked baggage (20kg) for 2 people which is ridiculous when I was not able to select other options and they tried to put me in a situation that I had to buy more checked baggage at the check-in which cost enormously higher than if it was booked on the website right at the first time."
✅ Trip Verified ,A321,Solo Leisure,Economy Class,Hanoi to Seoul,June 2024,2.0,4.0,1.0,,,3.0,3,no,4," Although the price i paid initially was very good. I thought it was ridiculous when I wanted a sip of water on a 4:20 flight, they offered water for US$2 (from a Vietnamese brand I bought for a 10x lower price on the 0.2 US$ market for same brand) remembering that no meal or snack is offered included in the ticket, but you can buy cup noodles for US$ 10. I thought it would be a big water bottle like the one on the counter trolley, but they gave me a mini bottle of water. I asked for my money back and continued with a dry throat for the last 2 hours of the flight.  They already charge carry on with size more then 23cmx36cm or more than 7kg for international flights. So i paid US$30. "
✅ Trip Verified ,A321,Couple Leisure,Economy Class,Can Tho to Danang,May 2024,4.0,4.0,2.0,,,5.0,5,yes,8,"  At Can Tho Airport check-in opens two hours before your flight's departure. Both departure and arrival times adhered to the schedule, ensuring a smooth travel experience. VietJet offered a very competitive fare of 70 EUR for your one-way ticket. This attractive price even included a generous 30kg baggage allowance, eliminating the need for additional fees. While meals onboard aren't included in the base fare, VietJet offers an à la carte menu. This allows you to choose and pay for the food and beverages that suit your preferences and dietary needs."
✅ Trip Verified ,A320 ,Solo Leisure,Economy Class,Da Nang to Ho Chi Minh,June 2024,2.0,4.0,1.0,1.0,1.0,1.0,1,no,1,"   Flew From Ho Chi Minh to Da Nang never put my Middle name flying to Da Nang and never encountered a problem. Now I’m flying back from Da Nang to Ho Chi Minh with same round trip ticket charge 1,000,000 VND just for the name. Problem is I was allowed to fly but coming back to Ho Chi Minh ? I have to pay. Worst counter staff but flight attendants are okay.  They even want you to check in your personal bag that weights less than 7kg with laptops. Spend more money on a better airline to decrease travel stress."
Not Verified ,,Family Leisure,Economy Class,Mumbai to Bali,May 2024,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1, Pathetic Service. Air-conditioning was not working for almost 1 hour after boarding the plane during the night at 3 PM. Flight delay by 2 hours. Baggage missed and came after 2 days. You need to pay $5 for 200 ml of water. Water is basic need and it should be free. Cheap mentality to sell water in flight.
✅ Trip Verified ,,Business,Economy Class,Ho chi minh to Da Nang,May 2024,1.0,4.0,,,,1.0,1,no,1,"  Avoid. The website asked for first name only then we had to pay a fine because middle names were missing. Many others were also being fined. Other airlines make it specific what they want, this seems to be a money making racket."
,,Solo Leisure,Economy Class,Dong hoi to Ho Chi Minh,May 2024,4.0,4.0,,,,4.0,4,yes,8,"Cabin crew was nice and professional. The flight on time. The plane took off and landed smoothly. The ground staff were professional and friendly. Cheap price, good service, I will continue to choose Vietjet."
Not Verified ,,Family Leisure,Economy Class,Hanoi to Siem Reap,May 2024,3.0,3.0,,,,1.0,1,no,1,"   We reached Hanoi airport on 10th May to realize that our flight with Cambodia Angkor Air was cancelled. So, we had to book tickets Hanoi to Siem Reap. We approached the ticket counter for VietJet in Hanoi airport. They had a flight out of Hanoi at 16.50 to Siem Reap. We requested for 4 tickets (family). They said they had tickets, and it would cost us 77,44,000 VND. We said we are ok with the price and asked her to issue the tickets. Then she told us that they will issue the ticket if we can show her 2000USD in cash. I asked is this the requirement of Cambodia and she said no it is VietJet air policy. I asked her to show me in writing which she could not. Then we were forced to withdraw 2000USD worth of cash from ATM machines in the airport. I had to move money into multiple bank accounts due to the limit of ATM withdrawals. This whole process took us more than 1 hour. I lost a lot of money due to higher per transaction charges in the airport and also conversion fees lower per INR in the airport. After we reached back at the counter for the ticket the prices were now changed to 80,14,000 VND. When we questioned that how come the charges have changed, she said the extra baggage cost is higher now. The funny part is not one VietJet colleague even asked us currency. "
✅ Trip Verified ,,Solo Leisure,Economy Class,Vientiane to Ho Chi Minh City,May 2024,5.0,5.0,5.0,5.0,,5.0,5,yes,10,"  Cheap flights, enthusiastic staff. When I asked to buy a meal, the staff was enthusiastic and the cost was reasonable. The plane flew smoothly, the flight attendant helped me put my hand luggage on. "
✅ Trip Verified ,,Business,Economy Class,Chu Lai to Ho Chi Minh city,May 2024,5.0,5.0,4.0,1.0,1.0,5.0,4,yes,9,"  Cabin crew was nice and professional. The flight delayed insignificantly. The plane took off and landed smoothly. Although the airport was small, the ground staff were also professional and friendly."
✅ Trip Verified ,,Business,Economy Class,Ho Chi Minh city to Phu Quoc,May 2024,5.0,5.0,5.0,,,5.0,5,yes,8,"   Cabin crews are very good. They support customers enthusiastically, and serve skyboss customers very attentively. The flight departed on time."
✅ Trip Verified ,A320,Family Leisure,Economy Class,Quy Nhon to Ho chi Minh city,May 2024,,,,,,1.0,1,no,1,"  Not recommended. Like the other customers reviews, flight canceled and delayed last minute (24h ago), no compensation, no upgrade, customer service support totally useless. Can’t get a refund if you don’t call them in the 24h following the issue. A scam and a shame for this company. If you don’t want to pay extra fees/lose money, if you have business meetings, if you planned something or booked a hotel, do not choose VietJet Air."
✅ Trip Verified ,,Business,Economy Class,Hai Phong to Ho Chi Minh City,May 2024,5.0,5.0,5.0,1.0,,5.0,5,yes,10,"  After the first time flying SkyBoss, I switched to flying this class because it was so great.  Since flying Vietjet's SkyBoss class, my flights are more comfortable, I can rest and work at the same time, check in at the priority counter, and have my own dining room and waiting room. Luggage is tagged with priority for early pick-up upon landing. Security scans priority, takes about 2-3 minutes to complete. I flew on a holiday so queuing and crowding were my concerns, but SkyBoss class resolved and optimized everything. All procedures were quick, and throughout the flight, the flight attendants were very considerate and thoughtful. Very pleased. Sau lần đầu bay SkyBoss là mình chuyển qua chỉ bay hạng này vì quá tuyệt vời, vì mình phải đi công tác thường xuyên nên với việc bay liên tục như vậy khá mất sức, từ sau khi bay hạng SkyBoss của Vietjet thì những chuyến bay của mình thoải mái hơn, vừa nghỉ ngơi vừa có thể làm việc, làm thủ tục ở quầy ưu tiên, có phòng ăn phòng chờ riêng. Hành lý thì cũng được gắn thẻ ưu tiên để nhận sớm khi hạ cánh. An ninh soi chiếu ưu tiên riêng, tầm 2-3 phút rẹt rẹt cái xong. Mình bay ngay ngày Lễ nên việc xếp hàng, đông đúc là điều khiến mình quan ngại nhưng hạng SkyBoss đã giải quyết, tối ưu được hết. Mọi thủ tục nhanh chóng, suốt chuyến bay thì các bạn tiếp viên rất ân cần chu đáo. Rất hài lòng"
✅ Trip Verified ,,Couple Leisure,Economy Class,Ho Chi Minh City to Hue,March 2024,4.0,4.0,,,,5.0,5,yes,8,"  VietJet Air is a Vietnamese low cost carrier. It does what it says on the tin. It was a very reasonably priced ticket. It left on time. Quick uneventful flight. Seat was a little old, but I can’t complain."
Not Verified ,,Family Leisure,Economy Class,Krabi to Bangkok,April 2024,2.0,3.0,3.0,1.0,1.0,2.0,1,no,1,"  This airline is terrible in all possible means. Service is poor and flights are constantly delayed, I have flown 3 times with them and every flight was delayed for several hours. I can only recommend not to choose this airline and book someone else (e.g. AirAsia), even though you have to pay few Dollars more."
Not Verified ,,Solo Leisure,Economy Class,DaNang to Hanoi,March 2024,1.0,1.0,,,,1.0,1,no,1,"   I booked three separate flights with this airline. One flight was cancelled by the airline and I am still waiting for compensation. The second was rescheduled by the airline who refused to cancel or refund my original booking because it was made through a third party. The third was possibly the worst flight I have ever experienced. VietJet are a very poor airline with no customer service and no ability to get satisfaction. They hide behind a raft of regulations and stipulations that are impossible to argue with if you don't read Vietnamese. There is no inflight service, cabin crew were totally ineffectual to badly mannered passengers. "
