status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,A350-900,Couple Leisure,Premium Economy,Ho Chi Minh City to Sydney,August 2024,4.0,5.0,5.0,5.0,,5.0,5,yes,9," Was flying with Vietnam Airlines from SGN to SYD on Premium Economy. Flight was on time with good ground services offered by amazing staff who assisted us to see a doctor since one of us was not feeling well. Cabin crew staff who was in charge of Premium Economy was extremely thoughtful and attentive. F&B was amazing, 10/10 for both meals. Inflight entertainment was good as Vietnam Airlines has just recently updated their movie list. Seat was comfortable, though mine could not recline due to a technical issue."
Not Verified ,,Family Leisure,Economy Class,Sydney to Frankfurt,June 2024,3.0,3.0,3.0,3.0,,2.0,2,no,3,"  The Vietnam Airlines international flights from Australia (Sydney to Frankfurt and return) receives an above average 3.5 out of 5 star from me for the on-board flight experience which is OK for what is still a budget airline however if you think that you may need to possibly make changes to your booking then I have to really insist (in order to keep your sanity) that you proceed with another airline. I had made numerous, yes numerous, frustrating (for me) calls and emails to change flight details mostly without success. Put simply Vietnam Airlines will not make any changes on the phone without an email whereby they do no respond back to you on then you have to get on the phone again (waiting for up to 90 minutes) and start the process over and over again. I even approached the customer service counter at Ho Chi Minh airport for a simple change which took approximately 30 minutes."
✅ Trip Verified ,,Solo Leisure,Economy Class,Hanoi to Ho Chi Minh city,July 2024,5.0,5.0,5.0,,,5.0,5,yes,10,  Good service. The flight was comfortable and delight. Both ground and cabin staff are considerate and thoughtful. Signed luggage is easy to get. VIP lounge is cool and has good food.
Not Verified ,,Couple Leisure,Economy Class,Delhi to Phu Quoc via Ho Chi Minh / Hanoi,July 2024,3.0,3.0,1.0,4.0,2.0,2.0,3,no,5,"   My experience was just okay with them. International flight is good and provides a lot of amenities along with water bottle, cushion, blanket, earphones, good legroom space, food, etc. my only point of concern and dissatisfaction is that they don't mention what is the ingredient in their Vegetarian and Non-Veg meal. For Hindu Meal, they give non-veg in this which is uncertain for sure. Also, there was a delay in flight and for their short domestic flights in Vietnam, they don't provide meals. Once I landed back to Delhi my luggage was delayed for almost an hour. Overall experience with them was just okay and not so good but it can be better."
✅ Trip Verified ,,Family Leisure,Economy Class,Phnom Penh to Hanoi,June 2024,1.0,,,,,1.0,1,no,1,"  I suppose to travel on june 10th to June 15th 2024 with my families of 4. Vietnam air had cancelled our flight without let us know on June 15th go back to Phnom Penh Cambodia. Because we didn’t used the flights on June the 10th On June 15th we were arrive to Hanoi airport , the Vietnam air customer service said we don’t have flight to come back to Phnom Penh because they canceled, I had asked how did you communicate with third party or travelers they have no an answer to me, even we asked to check if any a different times or day we can travel or refund money they said no, nothing they can help. These are at Vietnam customers service in Hanoi airport. We lost $1226.64 for whole trips and then we have to buy another flight to go back To Phnom Penh another $1200.00 total of $2300.00. We travel a lot in USA and Asia but never ever had very bad experiences plus huge lost, if anyone want to consider to fly with Vietnam Air I would not recommend at all. They didn’t seem really care about travelers, no friendly, doesn’t want to talked to us."
✅ Trip Verified ,,Business,Economy Class,Phnom Penh to San Francisco via Hi Chi Minh City,June 2024,,,,,,1.0,1,no,1,"  Vietnam Airlines confirmed both of the flight legs (Phnom Penh to Saigon to San Francisco) were able to take a pet as AVIH by email. I reserved early and followed all requirements. Then Vietnam Airlines changed the aircraft the day of the flight and did not inform me. I arrived early, but was made to wait for checking in. Then less than one hour before take off, the representative informed me that the cat could only fly as checked luggage, and he would not assist in making any changes for this possibility. I missed both flights due to their error, poor communication, and terrible customer service. Please save you and your pet the stress. Avoid Vietnam Airlines!"
✅ Trip Verified ,A321,Couple Leisure,Economy Class,Hanoi to Hong Kong,May 2024,5.0,5.0,5.0,2.0,,5.0,4,yes,9,"  Positive Experience on Vietnam Airlines (VN592): Friendly and Attentive Staff: Both the check-in and cabin crew on VN592 were very attentive and ensured a smooth travel experience. Comfortable Economy Class: Despite being a shorter flight (around two hours), economy class passengers were served a proper lunch, exceeding expectations for a regional route. Pleasant Return Flight (VN593): Smooth Journey: The return flight from Hong Kong to Hanoi (VN593) was smooth and enjoyable."
✅ Trip Verified ,Boeing 787,Business,Economy Class,Hanoi to Ho Chi Minh City,July 2023,5.0,5.0,4.0,5.0,4.0,5.0,4,yes,10,"  Significantly improved services. Lotusmiles benefits were improved, revamped with less requirements on miles. Cabin crew really cared about passenger preferences and needs. Well done to Vietnam Airlines!"
✅ Trip Verified ,,Solo Leisure,Economy Class,Hanoi to Da Nang,May 2024,4.0,5.0,,,,5.0,5,yes,9,  I found Vietnam Airlines to be excellent in every respect. The ground staff and aircraft crew were professional and courteous. The flights (I flew round trip) were on time. Because of my height the flight attendant found me a better seat on one of the flights. A real human being responded to my questions via email and a prompt and courteous manner.
Not Verified ,,Business,Business Class,Paris CDG to Perth via Ho Chi Minh City,March 2024,4.0,4.0,4.0,4.0,1.0,2.0,5,no,1," Just wanted to share my experience with Vietnam Airlines. Flight was due to leave Paris Charles De Gaulle on friday at around 13:30, arrived at the airport around 10:00. There was a delay on the flight due to technical difficulties. Around 17:00 we got news that the technical issues would not be fixed and that the flight was postponed to saturday and we had to be present ourselves the next day at the check-in counter at 9:30. We received a hotel voucher, but did not receive our luggage back. The next day I was present at 9:30 for check-in, and there was an endless line of people there (only 3 check-in counters were opened for the delayed flight), luckily I had a business class ticket and could skip the line. I specifically asked if everything was allright for the connecting flight in Ho Chi Minh and the lady behind the counter called Vietnam Airlines and they said ""yes everything is allright put him on the plane we will hand over his boarding ticket for the flight to Perth in Ho Chi Minh City"". So I boarded the plane, thinking everything was going to go smoothly from there on. But when I arrived at Ho Chi Minh City I had to go the transfer desk, alongside 100 other people who had a connecting flight... Apparently they had done nothing for any of the passenger’s with connecting flights, and only 3 counters were open for taking care of all those urgent problems. Many people were stranded there (for the second day in a row), but since they assured me my flight was ok and my flight was only 9hrs later, I waited till all the urgent matters were attended to. Once 80% of the people were helped (or not) I asked how about my ticket to Perth, and then got the bad news, the flight of today was cancelled sir, we will give you a hotel voucher and you can catch the flight of tomorrow (32 hours later)... By this point I was boiling inside. I asked if there were no other flights they could arrange for me and they said no, we can give you a flight to Sydney or Brisbane instead of Perth (the other side of Australia...), but I politely declined. I went to the woman from Vietnam Airlines responsible for the transfer desk and asked if I could book another flight and if I could get my luggage. She said yes no problem, if you want to book another flight that's all right for us. I only arrived in Perth 2 days later, so 2 hotel nights I had prebooked were also lost in the meantime. On the way back to Paris I got told that since I did not cancel my flight from Ho Chi Minh City to Perth and I was in their system as a NO SHOW, they voided (cancelled) my tickets back from Perth to Paris! I told him that his colleague in Ho Chi Minh assured me that I could book another flight and that everything was all right. But after loosing my cool and shouting and cursing around for fifteen minutes, the responsible said there was nothing he could do for me and that I had to contact my sales agent 2 days later to see if there was anything he could do for me. Horrible service, how they did nothing for all those passengers stranded in Ho Chi Minh. They cancelled the flight on friday around 17:00, and we landed in Ho Chi Minh 32 hours later than that. They could have looked into everything up front so that people would have their tickets ready when they landed in Ho Chi Minh instead of leaving it up to 3 people behind the counter that were doing all they could to fix the problem at hand instantaneously. And then not giving me a ticket home while there was room on the planes!"
